feature,coef_judge,se_robust_judge,t_robust_judge,coef_fan,se_robust_fan,t_robust_fan,direction_same,diff,diff_se,diff_t,diff_p
celebrity_industry_Comedian,-0.1404019257764001,77.53759495726416,-0.0018107593594279576,-0.6231322540982249,870361.8868392378,-7.159461639125313e-07,True,0.48273032832182483,870361.8902930188,5.546317384821471e-07,0.999999557467899
celebrity_homestate_Washington D.C.,-0.1408575091082457,0.0,,1.1328191385400574,0.0,,False,-1.2736766476483032,0.0,-inf,0.0
celebrity_homestate_New Jersey,-0.14107988047361453,0.0,,0.05831525496077261,,,False,-0.19939513543438714,,,
ballroom_partner_Tristan MacManus,-0.14274662096073226,1.1079864553003806,-0.12883426532685632,-0.39111648758461093,0.9102788723696852,-0.4296666653005317,True,0.24836986662387867,1.4339601147213712,0.1732055613500371,0.862489852387027
celebrity_homestate_North Carolina,-0.14355672827077626,0.0,,-0.38798823560909756,0.0,,True,0.2444315073383213,0.0,inf,0.0
ballroom_partner_Corky Ballas,-0.1451402902605993,1.0570362316338677,-0.13730871839298736,0.520414429298625,,,False,-0.6655547195592243,,,
celebrity_homestate_Michigan,-0.14704186377820183,,,0.19823554481793515,,,False,-0.345277408596137,,,
celebrity_homestate_Illinois,-0.15061804584205354,,,0.12188713776961879,0.0,,False,-0.2725051836116723,,,
celebrity_industry_Entrepreneur,-0.15112657535182705,39.56635784224496,-0.0038195725761361174,-1.4766725014608277,444087.12958033645,-3.325186440003986e-06,True,1.3255459261090006,444087.13134293724,2.9848780398128103e-06,0.9999976184118962
celebrity_industry_Astronaut,-0.1558697261974623,,,0.906556393011418,,,False,-1.0624261192088804,,,
celebrity_industry_Politician,-0.15968767364631908,0.49020017481633094,-0.32576013198312537,-1.2175838911925447,1.4564461957914963,-0.8359964787651195,True,1.0578962175462256,1.5367276052135859,0.6884084166622304,0.4911956250833829
celebrity_homecountry/region_Venezuela,-0.16836227865323197,5.045277619202561,-0.03337027045101291,-0.3210076835263444,0.0,,True,0.15264540487311243,5.045277619202561,0.030255105148651668,0.9758636010674182
ballroom_partner_Dmitry Chaplin,-0.17373305337814518,0.5753734790278443,-0.30194831654682097,-1.3258416185231667,1.4564461957914963,-0.9103265347901484,True,1.1521085651450216,1.5659789786597158,0.7357113861969488,0.4619063588445771
ballroom_partner_Jan Ravnik,-0.17447700638862176,0.23938803823148697,-0.7288459677333728,-2.502413584695492,0.7282230978957481,-3.4363282240379247,True,2.32793657830687,0.7665608346094915,3.03685822860072,0.00239057862689096
ballroom_partner_Karina Smirnoff,-0.17528470375847904,0.7723553297393302,-0.22694826721482922,-0.6490773596326526,,,True,0.4737926558741735,,,
